ID;Nome;SKU;Categoria;Preço;"Preço Promocional";Custo;"Quantidade Estoque";"Estoque Mínimo";Unidade;"Descrição Curta";Tags;Ativo;Destaque;"Data Criação"
238;"Açucar Refinado 1Kg – Caravelas";8-242;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:45"
237;"Açucar Refinado 1Kg – Neve";8-241;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:45"
236;"Açucar Refinado 1Kg – União";8-240;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:45"
235;"Açucar Refinado 5Kg – Caravelas";8-239;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:45"
234;"Açucar Sachê 5g – União";8-238;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:45"
200;"Agua Sanitaria 1L – Cordex";7-204;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:40"
220;"Alcool 70º 1lt – Facilita";7-224;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:43"
219;"Alcool Gel 70º 500ml – Facilita";7-223;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:43"
222;"Alcool Gel 70º 5lts – Audax";7-226;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:43"
221;"Alcool Gel 70º 5Lts – Dragoco";7-225;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:43"
218;"Alcool Gel 70º Antisseptico 500ml – Dragoco";7-222;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:42"
183;"Alcool liquido 70 1lt – Safra";7-186;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:38"
184;"alcool liquido 70 5lts – Pring";7-187;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:38"
182;"alcool liquido 70 5lts – Safra";7-185;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:38"
185;"Alcool Liquido 70 5lts – Tupi";7-188;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:38"
181;"Alcool líquido 92,8 1lt – Pring";7-184;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:38"
180;"Alcool Liquido Medical 70 1lt – Pring";7-183;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:38"
342;"Aromatizador Concentrado Capim Limão 120ml – Coala";12-348;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:07:03"
